instancia,teste,grupo_a,grupo_b,estatistica,p_value,p_value_ajustado,significativo,melhor,diferenca_medianas
pequena,kruskal_wallis,ACO+Tabu+PSO,,33.91553074680926,4.318531312734492e-08,4.318531312734492e-08,True,,
pequena,mann_whitney,ACO,Tabu,765.0,1.2891178238147606e-06,3.867353471444282e-06,True,Tabu,423.6999999999971
pequena,mann_whitney,ACO,PSO,656.5,0.0019873139079902825,0.005961941723970847,True,PSO,58.30000000000291
pequena,mann_whitney,Tabu,PSO,140.0,1.780665306210975e-06,5.3419959186329255e-06,True,Tabu,-365.3999999999942
grande,kruskal_wallis,ACO+Tabu+PSO,,79.03306471306468,6.8895055385309886e-18,6.8895055385309886e-18,True,,
grande,mann_whitney,ACO,Tabu,899.0,3.3383888204287995e-11,1.0015166461286399e-10,True,Tabu,93223.69999999995
grande,mann_whitney,ACO,PSO,0.0,3.019859359162157e-11,9.059578077486472e-11,True,ACO,-130841.80000000005
grande,mann_whitney,Tabu,PSO,0.0,3.019859359162157e-11,9.059578077486472e-11,True,Tabu,-224065.5
