instancia,algoritmo,run,seed,custo,custo_objetivo,n_veiculos,eh_valida,n_violacoes,clientes_faltando,frota_excedida,n_violacoes_jt,total_atraso_jt,tempo
pequena,Tabu,25,67,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,2.2090818881988525
pequena,Tabu,26,68,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,2.4171905517578125
pequena,Tabu,27,69,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,2.5371949672698975
pequena,Tabu,28,70,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,2.516458034515381
pequena,Tabu,29,71,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,2.6588165760040283
pequena,PSO,0,42,56317.8,56317.8,3,1,0,0,0,0,0,0.5431334972381592
pequena,PSO,1,43,62674.3,62674.3,3,1,0,0,0,0,0,0.5870962142944336
pequena,PSO,2,44,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.6146929264068604
pequena,PSO,3,45,56317.8,56317.8,3,1,0,0,0,0,0,0.5236341953277588
pequena,PSO,4,46,56317.8,56317.8,3,1,0,0,0,0,0,0.5335471630096436
pequena,PSO,5,47,56336.8,56336.8,3,1,0,0,0,0,0,0.581979513168335
pequena,PSO,6,48,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.5381202697753906
pequena,PSO,7,49,56336.8,56336.8,3,1,0,0,0,0,0,0.6988425254821777
pequena,PSO,8,50,56317.8,56317.8,3,1,0,0,0,0,0,0.5534307956695557
pequena,PSO,9,51,56336.8,56336.8,3,1,0,0,0,0,0,0.5983095169067383
pequena,PSO,10,52,56685.700000000004,56685.700000000004,3,1,0,0,0,0,0,0.5684118270874023
pequena,PSO,11,53,56336.8,56336.8,3,1,0,0,0,0,0,0.5441241264343262
pequena,PSO,12,54,56317.8,56317.8,3,1,0,0,0,0,0,0.6023697853088379
pequena,PSO,13,55,60330.6,60330.6,3,1,0,0,0,0,0,0.5739078521728516
pequena,PSO,14,56,56395.100000000006,56395.100000000006,3,1,0,0,0,0,0,0.4971301555633545
pequena,PSO,15,57,56336.8,56336.8,3,1,0,0,0,0,0,0.4861130714416504
pequena,PSO,16,58,60330.600000000006,60330.600000000006,3,1,0,0,0,0,0,0.49327540397644043
pequena,PSO,17,59,56317.8,56317.8,3,1,0,0,0,0,0,0.49867916107177734
pequena,PSO,18,60,64337.4,64337.4,3,1,0,0,0,0,0,0.5145325660705566
pequena,PSO,19,61,56336.8,56336.8,3,1,0,0,0,0,0,0.5943551063537598
pequena,PSO,20,62,56336.8,56336.8,3,1,0,0,0,0,0,0.5029149055480957
pequena,PSO,21,63,64337.399999999994,64337.399999999994,3,1,0,0,0,0,0,0.492020845413208
pequena,PSO,22,64,56317.8,56317.8,3,1,0,0,0,0,0,0.49210596084594727
pequena,PSO,23,65,56317.8,56317.8,3,1,0,0,0,0,0,0.4931063652038574
pequena,PSO,24,66,59181.7,59181.7,3,1,0,0,0,0,0,0.48981380462646484
pequena,PSO,25,67,56317.8,56317.8,3,1,0,0,0,0,0,0.5740165710449219
pequena,PSO,26,68,56317.8,56317.8,3,1,0,0,0,0,0,0.671372652053833
pequena,PSO,27,69,60688.00000000001,60688.00000000001,3,1,0,0,0,0,0,0.5137052536010742
pequena,PSO,28,70,56317.8,56317.8,3,1,0,0,0,0,0,0.49613142013549805
pequena,PSO,29,71,56317.8,56317.8,3,1,0,0,0,0,0,0.6477184295654297
pequena,Exato,0,42,55971.40000000001,55971.40000000001,3,1,0,0,0,0,0,120.01725101470947
grande,ACO,0,42,888928.7,888928.7,19,1,0,0,0,0,0,2.6132314205169678
grande,ACO,1,43,847576.0,847576.0,19,1,0,0,0,0,0,2.4581751823425293
grande,ACO,2,44,876746.7000000001,876746.7000000001,19,1,0,0,0,0,0,2.433479070663452
grande,ACO,3,45,836915.4,836915.4,19,1,0,0,0,0,0,2.2471415996551514
grande,ACO,4,46,836337.7,836337.7,19,1,0,0,0,0,0,2.359334945678711
grande,ACO,5,47,872379.1,872379.1,19,1,0,0,0,0,0,2.4319584369659424
grande,ACO,6,48,858037.4,858037.4,19,1,0,0,0,0,0,2.586893081665039
grande,ACO,7,49,871999.7000000001,871999.7000000001,20,1,0,0,0,0,0,2.372291326522827
grande,ACO,8,50,841869.6000000001,841869.6000000001,19,1,0,0,0,0,0,2.2458512783050537
grande,ACO,9,51,845988.4,845988.4,19,1,0,0,0,0,0,2.4677512645721436
grande,ACO,10,52,874759.8000000002,874759.8000000002,19,1,0,0,0,0,0,2.447235345840454
grande,ACO,11,53,850110.4999999999,850110.4999999999,19,1,0,0,0,0,0,2.4535837173461914
grande,ACO,12,54,858636.5999999999,858636.5999999999,18,1,0,0,0,0,0,2.1446852684020996
grande,ACO,13,55,860891.0000000001,860891.0000000001,19,1,0,0,0,0,0,2.4249353408813477
grande,ACO,14,56,838277.6000000001,838277.6000000001,19,1,0,0,0,0,0,2.533942699432373
grande,ACO,15,57,846325.7999999998,846325.7999999998,19,1,0,0,0,0,0,2.185209035873413
grande,ACO,16,58,843132.2999999999,843132.2999999999,19,1,0,0,0,0,0,2.214089870452881
grande,ACO,17,59,858486.9,858486.9,19,1,0,0,0,0,0,2.2402114868164062
grande,ACO,18,60,836707.9999999999,836707.9999999999,19,1,0,0,0,0,0,2.461543083190918
grande,ACO,19,61,857495.0,857495.0,19,1,0,0,0,0,0,2.333519697189331
grande,ACO,20,62,857770.1000000001,857770.1000000001,19,1,0,0,0,0,0,2.243933916091919
grande,ACO,21,63,822873.4,822873.4,19,1,0,0,0,0,0,2.223172187805176
grande,ACO,22,64,858823.7,858823.7,19,1,0,0,0,0,0,2.4554827213287354
grande,ACO,23,65,863098.5,863098.5,18,1,0,0,0,0,0,2.3693745136260986
grande,ACO,24,66,866920.0000000002,866920.0000000002,19,1,0,0,0,0,0,2.2613308429718018
grande,ACO,25,67,859972.4,859972.4,19,1,0,0,0,0,0,2.1875295639038086
grande,ACO,26,68,850775.0000000001,850775.0000000001,19,1,0,0,0,0,0,2.2020163536071777
grande,ACO,27,69,846079.5999999999,846079.5999999999,19,1,0,0,0,0,0,2.5237865447998047
grande,ACO,28,70,863163.7000000002,863163.7000000002,19,1,0,0,0,0,0,2.280782699584961
grande,ACO,29,71,846176.1000000001,846176.1000000001,19,1,0,0,0,0,0,2.3369719982147217
grande,Tabu,0,42,764277.7000000002,764277.7000000002,18,1,0,0,0,0,0,27.17816185951233
grande,Tabu,1,43,732132.8999999999,732132.8999999999,18,1,0,0,0,0,0,34.334399700164795
grande,Tabu,2,44,758695.0,758695.0,18,1,0,0,0,0,0,39.65322136878967
grande,Tabu,3,45,794360.8,794360.8,18,1,0,0,0,0,0,33.81311821937561
grande,Tabu,4,46,774887.8999999999,774887.8999999999,18,1,0,0,0,0,0,21.12738800048828
grande,Tabu,5,47,764260.8,764260.8,18,1,0,0,0,0,0,36.76225137710571
grande,Tabu,6,48,753288.5,753288.5,18,1,0,0,0,0,0,33.483033418655396
grande,Tabu,7,49,785564.8999999999,785564.8999999999,18,1,0,0,0,0,0,36.13744926452637
