instancia,algoritmo,n_runs,melhor_custo,media_custo,mediana_custo,desvio_custo,q1_custo,q3_custo,min_custo,max_custo,melhor_objetivo,media_objetivo,mediana_objetivo,desvio_objetivo,media_veiculos,taxa_factivel,media_violacoes,media_clientes_faltando,media_frota_excedida,media_violacoes_jt,media_atraso_jt,tempo_med,gap_exato
pequena,ACO,30,56336.8,58726.513333333336,56395.100000000006,2951.006012050052,56351.375,60688.0,56336.8,65101.0,56336.8,58726.513333333336,56395.100000000006,2951.006012050052,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13319838047027588,0.6528334113493572
pequena,Tabu,30,55971.40000000001,57306.51666666668,55971.40000000001,2985.4116245595906,55971.40000000001,55971.40000000001,55971.40000000001,63982.1,55971.40000000001,57306.51666666668,55971.40000000001,2985.4116245595906,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4865007718404133,0.0
pequena,PSO,30,56317.8,57597.40666666667,56336.8,2446.5810575758333,56317.8,56613.05,56317.8,64337.4,56317.8,57597.40666666667,56336.8,2446.5810575758333,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5506197293599446,0.6188875032605833
pequena,Exato,1,55971.40000000001,55971.40000000001,55971.40000000001,0.0,55971.40000000001,55971.40000000001,55971.40000000001,55971.40000000001,55971.40000000001,55971.40000000001,55971.40000000001,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,120.01725101470947,0.0
grande,ACO,30,822873.4,854575.1566666667,857632.55,14192.375691609548,846011.2,862546.625,822873.4,888928.7,822873.4,854575.1566666667,857632.55,14192.375691609548,18.966666666666665,1.0,0.0,0.0,0.0,0.0,0.0,2.357981483141581,
grande,Tabu,30,732132.8999999999,771823.4366666666,764408.8500000001,21902.034690556073,756816.7750000001,785389.8999999999,732132.8999999999,830990.8,732132.8999999999,771823.4366666666,764408.8500000001,21902.034690556073,18.0,1.0,0.0,0.0,0.0,0.0,0.0,34.213022669156395,
grande,PSO,30,946838.4000000001,995756.8133333334,988474.3500000001,29748.27737484117,977174.9750000001,1008970.025,946838.4000000001,1079739.2,946838.4000000001,995756.8133333334,988474.3500000001,29748.27737484117,23.666666666666668,1.0,0.0,0.0,0.0,0.0,0.0,3.8700005690256756,
